
ha	expressing surprise [interj]
hypopharynx	an appendage or thickened fold on the floor of the mouth of many insects that resembles a tongue [n hypopharynges or hypopharynxes]
hypopharynxes	"hypopharynx, an appendage or thickened fold on the floor of the mouth of many insects that resembles a tongue [n]"
hypophosphate	any salt or ester of hypophosphoric acid [n -s]
hypophosphates	"hypophosphate, any salt or ester of hypophosphoric acid [n]"
hypophosphite	a salt of hypophosphorous acid [n -s]
hypophosphites	"hypophosphite, a salt of hypophosphorous acid [n]"
hypophosphoric	"as in hypophosphoric acid, a tetrabasic acid produced by the slow oxidation of phosphorus in moist ai [adj]"
hypophosphorous	"as in hypophosphorous acid, a monobasic acid and a reducing agent [adj]"
hypophrygian	below the phrygian mode; applied in ancient greek music to a mode having as its upper tetrachord the lower tetrachord of the phrygian [adj]
hypophyge	the curve where a column merges in its base or capital [n -s]
hypophyges	"hypophyge, the curve where a column merges in its base or capital [n]"
hypophyseal	relating to the pituitary gland [adj]
hypophysectomy	the removal of the pituitary gland [n]
hypophyses	"hypophysis, the pituitary gland [n]"
hypophysial	relating to the pituitary gland [adj]
hypophysis	the pituitary gland [n hypophyses]
hypopituitarism	deficient production of growth hormones by the pituitary gland [n]
hypopituitary	relating to hypopituitarism [adj]
hypoplasia	"the incomplete development of an organ or part, also hypoplasty [n -s]"
hypoplasias	"hypoplasia, the incomplete development of an organ or part, also hypoplasty [n]"
hypoplastic	relating to hypoplasia [adj]
hypoplasties	"hypoplasty, incomplete development of a part or organ, also hypoplasia [n]"
hypoplastra	"hypoplastron, the plate behind the hyoplastron in a turtle's plastron [n]"
hypoplastron	the plate behind the hyoplastron in a turtle's plastron [n hypoplastra]
hypoplasty	"incomplete development of a part or organ, also hypoplasia [n hypoplasties]"
hypoploid	a chromosome number a few below the normal diploid number [n -s]
hypoploidies	"hypoploidy, the state of being hypoploid, having a chromosome number a few below the normal diploid number [n]"
hypoploids	"hypoploid, a chromosome number a few below the normal diploid number [n]"
hypoploidy	"the state of being hypoploid, having a chromosome number a few below the normal diploid number [n hypoploidies]"
hypopnea	"abnormally shallow breathing, also hypopnoea [n -s]"
hypopneas	"hypopnea, abnormally shallow breathing, also hypopnoea [n]"
hypopneic	"related to hypopnea, abnormally shallow breathing [adj]"
hypopnoea	"abnormally shallow breathing, also hypopnea [n -s]"
hypopnoeas	"hypopnoea, abnormally shallow breathing, also hypopnea [n]"
hypopyon	an accumulation of pus in the eye [n -s]
hypopyons	"hypopyon, an accumulation of pus in the eye [n]"
hypos	"hypo, (colloquial) to inject with a hypodermic needle [v]"
hyposensitise	"to cause (a person) to become less sensitive to (a substance producing an allergic reaction), also hyposensitize [v hyposensitised, hyposensitising, hyposensitises]"
hyposensitised	"hyposensitise, to cause (a person) to become less sensitive to (a substance producing an allergic reaction), also hyposensitize [v]"
hyposensitises	"hyposensitise, to cause (a person) to become less sensitive to (a substance producing an allergic reaction), also hyposensitize [v]"
hyposensitising	"hyposensitise, to cause (a person) to become less sensitive to (a substance producing an allergic reaction), also hyposensitize [v]"
hyposensitize	"to lower the sensitivity of, also hyposensitise [v hyposensitized, hyposensitizing, hyposensitizes]"
hyposensitized	"hyposensitize, to lower the sensitivity of, also hyposensitise [v]"
hyposensitizes	"hyposensitize, to lower the sensitivity of, also hyposensitise [v]"
hyposensitizing	"hyposensitize, to lower the sensitivity of, also hyposensitise [v]"
hypospadias	a malformation of the penis [n hypospadiases]
hypospadiases	"hypospadias, a malformation of the penis [n]"
hypostases	"hypostasis, an underlying reality, substance, as opposed to attributes ('accidents') or as distinguished from what is unsubstantial [n]"
hypostasis	"an underlying reality, substance, as opposed to attributes ('accidents') or as distinguished from what is unsubstantial [n hypostases]"
hypostasisation	"the process of hypostasising, also hypostasization [n]"
hypostasise	"to treat as hypostasis, to personify, also hypostasize, hypostatise, hypostatize [v hypostasised, hypostasising, hypostasises]"
hypostasised	hypostasis [v]
hypostasises	"hypostasise, to treat as hypostasis, to personify, also hypostasize, hypostatise, hypostatize [v]"
hypostasising	hypostasis [v]
hypostasization	"the process of hypostasizing, also hypostasisation [n]"
hypostasize	"to treat as hypostasis; to personify, also hypostasise, hypostatise, hypostatize [v hypostasized, hypostasizing, hypostasizes]"
hypostasized	"hypostasize, to treat as hypostasis; to personify, also hypostasise, hypostatise, hypostatize [v]"
hypostasizes	"hypostasize, to treat as hypostasis; to personify, also hypostasise, hypostatise, hypostatize [v]"
hypostasizing	"hypostasize, to treat as hypostasis; to personify, also hypostasise, hypostatise, hypostatize [v]"
hypostatic	"relating to hypostasis, also hypostatical [adj hypostatically]"
hypostatical	"relating to hypostasis, also hypostatic [adj hypostatically]"
hypostatically	"hypostatical, relating to hypostasis, also hypostatic [adv]"
hypostatisation	"the process of hypostatising, also hypostatization [n]"
hypostatise	"to treat as hypostasis; to personify, also hypostasise, hypostasize, hypostatize [v hypostasised, hypostasising, hypostasises]"
hypostatised	"hypostasise, to treat as hypostasis, to personify, also hypostasize, hypostatise, hypostatize [v]"
hypostatises	"hypostatise, to treat as hypostasis; to personify, also hypostasise, hypostasize, hypostatize [v]"
hypostatising	"hypostatise, to treat as hypostasis; to personify, also hypostasise, hypostasize, hypostatize [v]"
hypostatization	"the act of hypostatizing, also hypostatisation [n]"
hypostatize	"to treat as hypostasis, to personify, also hypostasise, hypostasize, hypostatise [v hypostatized, hypostatizing, hypostatizes]"
hypostatized	"hypostatize, to treat as hypostasis, to personify, also hypostasise, hypostasize, hypostatise [v]"
hypostatizes	"hypostatize, to treat as hypostasis, to personify, also hypostasise, hypostasize, hypostatise [v]"
hypostatizing	"hypostatize, to treat as hypostasis, to personify, also hypostasise, hypostasize, hypostatise [v]"
hyposthenia	lack of strength [n -s]
hyposthenias	"hyposthenia, lack of strength [n]"
hyposthenic	"suffering from hyposthenia, lack of strength [adj]"
hypostome	any of several structures associated with the mouth in different invertebrates [n -s]
hypostomes	"hypostome, any of several structures associated with the mouth in different invertebrates [n]"
hypostress	insufficient stress [n -es]
hypostresses	"hypostress, insufficient stress [n]"
hypostrophe	a return to the primary argument after digression [n -s]
hypostrophes	"hypostrophe, a return to the primary argument after digression [n]"
hypostyle	having a roof supported by columns [adj] / a building with a roof supported by columns [n -s]
hypostyles	"hypostyle, a building with a roof supported by columns [n]"
hyposulphate	a dithionate [n -s]
hyposulphates	"hyposulphate, a dithionate [n]"
hyposulphite	a salt of hyposulphurous acid [n -s]
hyposulphites	"hyposulphite, a salt of hyposulphurous acid [n]"
hyposulphuric	denoting a kind of acid [adj]
hyposulphurous	of or derived from hyposulphurous acid [adj]
hypotactic	"relating to hypotaxis, a dependent or subordinate relationship of clauses with conjunctions [adj]"
hypotaxes	"hypotaxis, a dependent or subordinate relationship of clauses with conjunctions [n]"
hypotaxis	a dependent or subordinate relationship of clauses with conjunctions [n hypotaxes]
hypotension	abnormally low blood pressure [n -s]
hypotensions	"hypotension, abnormally low blood pressure [n]"
hypotensive	a person with hypotension [n -s]
hypotensives	"hypotensive, a person with hypotension [n]"
hypotenuse	"the longest side of a right-angled triangle, also hypothenuse [n -s]"
hypotenuses	"hypotenuse, the longest side of a right-angled triangle, also hypothenuse [n]"
hypothalami	"hypothalamus, a part of the brain [n]"
hypothalamic	of or relating to the hypothalamus [adj]
hypothalamus	a part of the brain [n hypothalami]
hypothec	"in the law of scotland, the channel islands, and ancient rome, a creditor's right established over a debtor's property that continues in the debtor's possession [n -s]"
hypotheca	the inner and younger layer of the cell wall of a diatom [n hypothecae]
hypothecae	"hypotheca, the inner and younger layer of the cell wall of a diatom [n]"
hypothecary	of or pertaining to mortgages [adj]
hypothecate	"to pledge as security without title or possession [v hypothecated, hypothecating, hypothecates]"
hypothecated	"hypothecate, to pledge as security without title or possession [v]"
hypothecates	"hypothecate, to pledge as security without title or possession [v]"
hypothecating	"hypothecate, to pledge as security without title or possession [v]"
hypothecation	the act of taking a mortgage [n -s]
hypothecations	"hypothecation, the act of taking a mortgage [n]"
hypothecator	one who hypothecates [n -s]
hypothecators	"hypothecator, one who hypothecates [n]"
hypothecs	"hypothec, in the law of scotland, the channel islands, and ancient rome, a creditor's right established over a debtor's property that continues in the debtor's possession [n]"
hypothenuse	"the longest side of a right-angled triangle, also hypotenuse [n -s]"
hypothenuses	"hypothenuse, the longest side of a right-angled triangle, also hypotenuse [n]"
hypothermal	of or relating to a hydrothermal metalliferous ore vein deposited at high temperature [adj]
hypothermia	subnormal temperature of the body [n -s]
hypothermias	"hypothermia, subnormal temperature of the body [n]"
hypothermic	relating to hypothermia [adj]
hypotheses	"hypothesis, a supposition, an assumption [n]"
hypothesis	"a supposition, an assumption [n hypotheses]"
hypothesise	"to form a hypothesis, also hypothesize, hypothetise, hypothetize [v hypothesised, hypothesising, hypothesises]"
hypothesised	hypothesis [v]
hypothesiser	"one who hypothesises, also hypothesizer [n -s]"
hypothesisers	"hypothesiser, one who hypothesises, also hypothesizer [n]"
hypothesises	"hypothesise, to form a hypothesis, also hypothesize, hypothetise, hypothetize [v]"
hypothesising	hypothesis [v]
hypothesist	one who forms a hypothesis [n -s]
hypothesists	"hypothesist, one who forms a hypothesis [n]"
hypothesize	"to make a hypothesis, also hypothesise, hypothetise, hypothetize [v hypothesized, hypothesizing, hypothesizes]"
hypothesized	"hypothesize, to make a hypothesis, also hypothesise, hypothetise, hypothetize [v]"
hypothesizer	"one who hypothesizes, also hypothesiser [n -s]"
hypothesizers	"hypothesizer, one who hypothesizes, also hypothesiser [n]"
hypothesizes	"hypothesize, to make a hypothesis, also hypothesise, hypothetise, hypothetize [v]"
hypothesizing	"hypothesize, to make a hypothesis, also hypothesise, hypothetise, hypothetize [v]"
hypothetic	"of the nature of a hypothesis, also hypothetical [adj hypothetically]"
hypothetical	being or involving a hypothesis [adj hypothetically]
hypothetically	"hypothetical, being or involving a hypothesis [adv]"
hypothetise	"to form a hypothesis, also hypothesise, hypothesize, hypothetize [v hypothetised, hypothetising, hypothetises]"
hypothetised	"hypothetise, to form a hypothesis, also hypothesise, hypothesize, hypothetize [v]"
hypothetises	"hypothetise, to form a hypothesis, also hypothesise, hypothesize, hypothetize [v]"
hypothetising	"hypothetise, to form a hypothesis, also hypothesise, hypothesize, hypothetize [v]"
hypothetize	"to form a hypothesis, also hypothesise, hypothesize, hypothetise [v hypothetized, hypothetizing, hypothetizes]"
hypothetized	"hypothetize, to form a hypothesis, also hypothesise, hypothesize, hypothetise [v]"
hypothetizes	"hypothetize, to form a hypothesis, also hypothesise, hypothesize, hypothetise [v]"
hypothetizing	"hypothetize, to form a hypothesis, also hypothesise, hypothesize, hypothetise [v]"
hypothymia	a state of depression; a diminished emotional response [n -s]
hypothymias	"hypothymia, a state of depression; a diminished emotional response [n]"
hypothyroid	affected with hypothyroidism [adj] / someone suffering from hypothyroidism [n -s]
hypothyroidism	deficient activity of the thyroid gland [n -s]
hypothyroidisms	"hypothyroidism, deficient activity of the thyroid gland [n]"
hypothyroids	"hypothyroid, someone suffering from hypothyroidism [n]"
hypotonia	a hypnotic condition [n -s]
hypotonias	"hypotonia, a hypnotic condition [n]"
hypotonic	"of muscles, lacking normal tone [adj]"
hypotonicities	"hypotonicity, the state of being hypotonic [n]"
hypotonicity	the state of being hypotonic [n hypotonicities]
hypotrochoid	"the curve traced by a point on the radius, or radius produced, of a circle rolling within another circle [n -s]"
