
ma	(colloquial) mother [n -s]
mujahidin	"(arabic) islamic fundamentalist freedom fighters, also mojahedin, mujaheddin, mujahedeen, mujahedin, mujahideen [n]"
mujik	"(russian) a russian peasant, also moujik, muzhik, muzjik [n -s]"
mujiks	"mujik, (russian) a russian peasant, also moujik, muzhik, muzjik [n]"
mukhabarat	(in middle eastern countries) a secret police force [n -s]
mukhabarats	"mukhabarat, (in middle eastern countries) a secret police force [n]"
mukhtar	"an indian lawyer; a turkish local government official, also mooktar [n -s]"
mukhtars	"mukhtar, an indian lawyer; a turkish local government official, also mooktar [n]"
mukluk	"(inuit) a type of sealskin boot, also muckluck, mucluc [n -s]"
mukluks	"mukluk, (inuit) a type of sealskin boot, also muckluck, mucluc [n]"
muktuk	(inuit) whale skin used for food [n -s]
muktuks	"muktuk, (inuit) whale skin used for food [n]"
mulatress	"a woman of mixed race having one black and one white parent, also mulatta, mulattress [n -es]"
mulatresses	"mulatress, a woman of mixed race having one black and one white parent, also mulatta, mulattress [n]"
mulatta	"(spanish) the (female) offspring of a black person and a person of european descent, also mulatress, mulattress [n -s]"
mulattas	"mulatta, (spanish) the (female) offspring of a black person and a person of european descent, also mulatress, mulattress [n]"
mulatto	(spanish) the offspring of one white and one black parent [n -es or -s]
mulattoes	"mulatto, (spanish) the offspring of one white and one black parent [n]"
mulattos	"mulatto, (spanish) the offspring of one white and one black parent [n]"
mulattress	"a female mulatto, also mulatta, mulattress [n -es]"
mulattresses	"mulattress, a female mulatto, also mulatta, mulattress [n]"
mulberries	"mulberry, any of various trees of the genus morus, esp. morus nigra, grown for its purple, succulent fruit [n]"
mulberry	"any of various trees of the genus morus, esp. morus nigra, grown for its purple, succulent fruit [n mulberries]"
mulch	"to provide with a protective coating for the soil, also mulsh [v mulched, mulching, mulches]"
mulched	"mulch, to provide with a protective coating for the soil, also mulsh [v]"
mulches	"mulch, to provide with a protective coating for the soil, also mulsh [v]"
mulching	"mulch, to provide with a protective coating for the soil, also mulsh [v]"
mulct	"to take money from, by taxation or by trickery [v -ed, -ing, -s]"
mulcted	"mulct, to take money from, by taxation or by trickery [v]"
mulcting	"mulct, to take money from, by taxation or by trickery [v]"
mulcts	"mulct, to take money from, by taxation or by trickery [v]"
mule	"to strike a coin from dies belonging to two different issues as a coin [v muled, muling, mules]"
muled	"mule, to strike a coin from dies belonging to two different issues as a coin [v]"
mules	"to perform the mules operation on a sheep, removing anal wrinkles of a sheep to prevent flystrike [v -ed, -ing, -es]"
mulesed	"mules, to perform the mules operation on a sheep, removing anal wrinkles of a sheep to prevent flystrike [v]"
muleses	"mules, to perform the mules operation on a sheep, removing anal wrinkles of a sheep to prevent flystrike [v]"
mulesing	the practice of removing wool-bearing skin from around the tail of (esp. merino) sheep to prevent blowfly infestation [n -s]
mulesings	"mulesing, the practice of removing wool-bearing skin from around the tail of (esp. merino) sheep to prevent blowfly infestation [n]"
muleta	(spanish) a small cape fixed to a stick used by a matador in a bullfight [n -s]
muletas	"muleta, (spanish) a small cape fixed to a stick used by a matador in a bullfight [n]"
muleteer	a mule-driver [n -s]
muleteers	"muleteer, a mule-driver [n]"
muley	"a hornless cow, also mooley, mooly, mulley [n -s]"
muleys	"muley, a hornless cow, also mooley, mooly, mulley [n]"
mulga	(native australian) a kind of acacia found in arid regions of australia [n -s]
mulgas	"mulga, (native australian) a kind of acacia found in arid regions of australia [n]"
mulie	a western north american deer [n -s]
muliebrities	"muliebrity, the state of being a woman; femininity [n]"
muliebrity	the state of being a woman; femininity [n muliebrities]
mulies	"mulie, a western north american deer [n]"
muling	"mule, to strike a coin from dies belonging to two different issues as a coin [v]"
mulish	like a mule; stubborn [adj]
mulishly	"mulish, like a mule; stubborn [adv]"
mulishness	obstinacy [n -es]
mulishnesses	"mulishness, obstinacy [n]"
mull	"to ponder [v -ed, -ing, -s]"
mulla	"(arabic) a muslim learned in theology and law, also molla, mollah, moolah, mullah, muller [n -s]"
mullah	"(arabic) a muslim learned in theology and law, also molla, mollah, moolah, mulla [n -s] / to inflict a severe defeat upon, also muller [v -ed, -ing, -s]"
mullahed	"mullah, to inflict a severe defeat upon, also muller [v]"
mullahing	"mullah, to inflict a severe defeat upon, also muller [v]"
mullahism	the system of having mullahs [n -s]
mullahisms	"mullahism, the system of having mullahs [n]"
mullahs	"mullah, to inflict a severe defeat upon, also muller [v]"
mullarkies	"mullarky, (us colloquial) absurd talk, nonsense, also malarkey, malarky [n]"
mullarky	"(us colloquial) absurd talk, nonsense, also malarkey, malarky [n mullarkies]"
mullas	"mulla, (arabic) a muslim learned in theology and law, also molla, mollah, moolah, mullah, muller [n]"
mulled	"mull, to ponder [v]"
mullein	"a tall, stiff, yellow-flowered woolly plant of the verbascum genus, also mullen [n -s]"
mulleins	"mullein, a tall, stiff, yellow-flowered woolly plant of the verbascum genus, also mullen [n]"
mullen	"a tall, stiff, yellow-flowered woolly plant of the verbascum genus, also mullein [n -s]"
mullens	"mullen, a tall, stiff, yellow-flowered woolly plant of the verbascum genus, also mullein [n]"
muller	"to inflict a severe defeat on, also mullah [v -ed, -ing, -s]"
mullered	"muller, to inflict a severe defeat on, also mullah [v]"
mullering	"muller, to inflict a severe defeat on, also mullah [v]"
mullers	"muller, to inflict a severe defeat on, also mullah [v]"
mullet	a kind of fish; a five-pointed star in heraldry [n -s]
mullets	"mullet, a kind of fish; a five-pointed star in heraldry [n]"
mulley	"a hornless cow, also muley, mooley, mooly [n -s]"
mulleys	"mulley, a hornless cow, also muley, mooley, mooly [n]"
mulligan	a stew of meat and vegetables [n -s]
mulligans	"mulligan, a stew of meat and vegetables [n]"
mulligatawnies	"mulligatawny, (tamil) an east indian curry-soup [n]"
mulligatawny	(tamil) an east indian curry-soup [n mulligatawnies]
mulligrubs	(colloquial) grumpiness; colic; low spirits [n]
mulling	"mull, to ponder [v]"
mullion	"an upright division between window panes, also munnion [n -s] / to provide the upright division between the panes of a window [v -ed, -ing, -s]"
mullioned	"mullion, to provide the upright division between the panes of a window [v]"
mullioning	"mullion, to provide the upright division between the panes of a window [v]"
mullions	"mullion, to provide the upright division between the panes of a window [v]"
mullite	an aluminium silicate used in refractory porcelains and bricks [n -s]
mullites	"mullite, an aluminium silicate used in refractory porcelains and bricks [n]"
mullock	(australian slang) waste earth or rock from a mine [n -s]
mullocks	"mullock, (australian slang) waste earth or rock from a mine [n]"
mullocky	"(australian slang) like mullock, waste earth or rock from a mine [adj]"
mulloway	a large australian fish [n -s]
mulloways	"mulloway, a large australian fish [n]"
mulls	"mull, to ponder [v]"
mulmul	"(hindi) a fine, soft muslin, also mulmull [n -s]"
mulmull	"(hindi) a fine, soft muslin, also mulmul [n -s]"
mulmulls	"mulmull, (hindi) a fine, soft muslin, also mulmul [n]"
mulmuls	"mulmul, (hindi) a fine, soft muslin, also mulmull [n]"
mulse	(obsolete) a drink of honey with wine or water [n -s]
mulses	"mulse, (obsolete) a drink of honey with wine or water [n]"
mulsh	"loose material, strawy dung, etc., laid on the soil around plants, to protect roots [n -es] / to cover with mulsh, also mulch [v -ed, -ing, -es]"
mulshed	"mulsh, to cover with mulsh, also mulch [v]"
mulshes	"mulsh, to cover with mulsh, also mulch [v]"
mulshing	"mulsh, to cover with mulsh, also mulch [v]"
multangular	"having many angles, also multiangular [adj]"
multanimous	having a many-sided mind [adj]
multarticulate	"many-jointed, also multiarticulate [adj]"
multeities	"multeity, manifoldness [n]"
multeity	manifoldness [n multeities]
multiaccess	(relating to) a computer system that allows several users to access it at the same time [n -es]
multiaccesses	"multiaccess, (relating to) a computer system that allows several users to access it at the same time [n]"
multiage	including people of various ages [adj]
multiagency	related to many agencies [adj]
multiangular	"having many angles, also multangular [adj]"
multiarmed	having many arms [adj]
multiarticulate	"many-jointed, also multarticulate [adj]"
multiatom	containing many atoms [adj]
multiauthor	having many authors [adj]
multiaxial	having more than one axis [adj]
multiband	having many bands [adj]
multibank	comprising many banks [adj]
multibarrel	a gun with many barrels [n -s]
multibarreled	"of a gun, having many barrels, also multibarrelled [adj]"
multibarrelled	"of a gun, having many barrels, also multibarreled [adj]"
multibarrels	"multibarrel, a gun with many barrels [n]"
multibillion	comprising many billions [adj]
multibladed	having many blades [adj]
multibranched	having many branches [adj]
multibuilding	involving many buildings [adj]
multicamerate	having many chambers or cells [adj]
multicampus	having many campuses [adj]
multicapitate	many-headed [adj]
multicar	involving several cars [adj]
multicarbon	containing more than one kind of carbon [adj]
multicast	a broadcast from one source simultaneously to several receivers [n -s]
multicasts	"multicast, a broadcast from one source simultaneously to several receivers [n]"
multicauline	having many stems [adj]
multicausal	relating to more than one cause [adj]
multicell	having or made up of many cells [adj]
multicelled	multicell [v]
multicellular	having many cells [adj]
multicenter	"involving more than one medical or research institution, also multicentre [adj]"
multicentral	"having or proceeding from many centres, also multicentric [adj]"
multicentre	"comprising or involving several centres, also multicenter [adj]"
multicentric	"having or proceeding from many centres, also multicentral [adj]"
multichain	having many chains [adj]
multichambered	having many chambers [adj]
multichannel	having many channels [adj]
multicharacter	having many characters [adj]
multicide	mass murder [n -s]
multicides	"multicide, mass murder [n]"
multicipital	many-headed [adj]
multicity	involving several cities [adj]
multiclient	having many clients [adj]
multicoated	having many coats [adj]
multicolor	"diversity or plurality of colour, also multicolour [n -s]"
multicolored	multicolor [v]
multicolors	"multicolor, diversity or plurality of colour, also multicolour [n]"
multicolour	"diversity or plurality of colour, also multicolor [n -s]"
multicoloured	multicolour [v]
multicolours	"multicolour, diversity or plurality of colour, also multicolor [n]"
multicolumn	having many columns [adj]
multicomponent	having many components [adj]
multiconductor	having many conductors [adj]
multicopies	"multicopy, any of several or many copies (of a book, document, record, etc.) [n]"
multicopy	"any of several or many copies (of a book, document, record, etc.) [n multicopies]"
multicostate	having many ribs [adj]
multicounty	related to many counties [adj]
multicourse	having many courses [adj]
multiculti	(short for) multiculturalism [n -s]
multicultis	"multiculti, (short for) multiculturalism [n]"
multicultural	"of, relating to, or including several cultures [adj multiculturally]"
multiculturally	"multicultural, of, relating to, or including several cultures [adv]"
multicurie	"having many curies, units of radioactive decay and intensity [adj]"
multicurrencies	"multicurrency, the use of more than one currency [n]"
multicurrency	the use of more than one currency [n multicurrencies]
multicuspid	"having more than two cusps, also multicuspidate [adj] / a multicuspid tooth [n -s]"
multicuspidate	"having two or more cusps, also multicuspid [adj]"
multicuspids	"multicuspid, a multicuspid tooth [n]"
multicycle	(obsolete) a velocipede with more than three wheels [n -s]
multicycles	"multicycle, (obsolete) a velocipede with more than three wheels [n]"
multiday	lasting for more than one day [adj]
multidentate	having many teeth [adj]
multidialectal	having many dialects [adj]
multidigitate	having many digits [adj]
multidisc	involving more than one disc [adj]
multidiscipline	comprising many disciplines [adj]
multidivisional	comprising many divisions [adj]
multidomain	having many domains [adj]
multidrug	involving many different drugs [adj]
multielectrode	having many electrodes [adj]
multielement	having many elements [adj]
multiemployer	one who employs many workers [n -s]
multiemployers	"multiemployer, one who employs many workers [n]"
multiengine	"having many engines, also multiengined [adj]"
multiengined	"having many engines, also multiengine [adj]"
multienzyme	composed of or involving two or more enzymes that function in a biosynthetic pathway [adj]
multiethnic	belonging to more than one ethnic group [adj] / someone belonging to more than one ethnic group [n -s]
multiethnics	"multiethnic, someone belonging to more than one ethnic group [n]"
multifaced	having many faces [adj]
multifaceted	having many facets or aspects [adj]
multifactor	having many factors [adj]
multifactorial	having characters or a mode of inheritance dependent on a number of genes at different loci [adj]
multifamilies	"multifamily, a building designed to house several families [n]"
multifamily	a building designed to house several families [n multifamilies]
multifarious	having great diversity; manifold [adj multifariously]
multifariously	"multifarious, having great diversity; manifold [adv]"
multifid	"having many divisions, also multifidous [adj multifidly]"
multifidly	"multifid, having many divisions, also multifidous [adv]"
multifidous	"having many divisions, also multifid [adj]"
multifil	a multiple strand of synthetic fibre [n -s]
multifilament	something containing many filaments [n -s]
multifilaments	"multifilament, something containing many filaments [n]"
multifils	"multifil, a multiple strand of synthetic fibre [n]"
multiflash	with many flashes [adj]
multiflora	a type of climbing rose having clusters of small flowers [n -s]
